loco id,loco type,zone,manufacture year,cycle,totalcycles,days since service,engine temp   (C),oil pressure (bar),vibration    (mms),fuel efficiency (%),coolant temp (C),bearing temp  (C),RPM,exhaust temp (C),turbo pressure (bar),load factor (%),battery voltage (V),brake pressure (bar),RU,failure label,risk category
WDG4-1001,WDG4,NR,2014,1,174,-12,78.563,3.379,1.993,95.64,76.429,59.894,917.562,323.872,2.033,76.166,24.098,4.137,173,0,Low
WDG4-1001,WDG4,NR,2014,2,174,-10,83.015,3.785,2.354,93.177,77.398,59.337,913.649,325.032,1.775,70.422,23.585,3.951,172,0,Low
WDG4-1001,WDG4,NR,2014,3,174,-8,81.256,3.553,1.808,92.803,72.358,63.438,881.074,318.182,1.891,64.32,24.109,4.28,171,0,Low
WDG4-1001,WDG4,NR,2014,4,174,-6,79.521,3.363,1.887,94.926,76.087,60.413,932.098,324.781,1.746,69.2,23.856,4.069,170,0,Low
WDG4-1001,WDG4,NR,2014,5,174,-4,84.274,3.32,1.862,94.321,74.923,62.649,904.59,316.764,1.902,71.841,24.216,4.08,169,0,Low
WDG4-1001,WDG4,NR,2014,6,174,-2,80.975,3.606,1.947,92.439,70.906,62.36,904.654,317.87,1.782,75.978,24.772,4.424,168,0,Low
WDG4-1001,WDG4,NR,2014,7,174,0,82.206,3.576,1.559,94.546,74.88,62.135,903.802,319.117,1.855,69.57,23.715,4.13,167,0,Low
WDG4-1001,WDG4,NR,2014,8,174,2,84.904,3.373,1.657,93.433,77.24,59.447,929.186,326.688,1.711,76.139,23.888,4.15,166,0,Low
WDG4-1001,WDG4,NR,2014,9,174,4,82.161,3.341,1.924,93.93,72.682,57.64,924.374,319.057,1.862,68.037,24.045,4.361,165,0,Low
WDG4-1001,WDG4,NR,2014,10,174,6,81.396,3.616,1.886,92.317,75.274,58.788,922.48,310.002,1.755,75.64,23.291,4.05,164,0,Low
WDG4-1001,WDG4,NR,2014,11,174,8,80.87,3.505,2.039,96.307,72.606,60.933,886.63,333.276,1.891,71.149,24.506,4.462,163,0,Low
WDG4-1001,WDG4,NR,2014,12,174,10,84.581,3.645,2.049,92.08,76.61,60.926,886.986,318.507,1.671,69.046,24.509,3.804,162,0,Low
WDG4-1001,WDG4,NR,2014,13,174,12,81.249,3.544,1.819,95.033,78.031,55.732,880.883,304.743,1.783,72.576,23.783,3.991,161,0,Low
WDG4-1001,WDG4,NR,2014,14,174,14,81.521,3.461,1.427,93.918,80.523,57.71,913.85,323.442,1.922,68.338,24.134,4.127,160,0,Low
WDG4-1001,WDG4,NR,2014,15,174,16,84.216,3.555,2.007,94.666,76.525,57.586,922.873,332.002,1.868,69.512,23.984,4.333,159,0,Low
WDG4-1001,WDG4,NR,2014,16,174,18,78.359,3.275,2.268,94.449,77.322,63.055,903.11,324.452,1.802,65.315,24.654,4.074,158,0,Low
WDG4-1001,WDG4,NR,2014,17,174,20,85.569,3.525,1.679,92.984,74.137,59.233,897.531,334.275,1.786,74.808,24.04,4.467,157,0,Low
WDG4-1001,WDG4,NR,2014,18,174,22,82.028,3.445,2.062,95.438,80.436,57.494,911.739,327.494,1.798,64.926,24.478,4.403,156,0,Low
WDG4-1001,WDG4,NR,2014,19,174,24,78.33,3.648,1.538,93.608,76.358,61.931,865.612,332.539,1.754,64.706,24.53,3.842,155,0,Low
WDG4-1001,WDG4,NR,2014,20,174,26,86.751,3.483,1.946,93.217,76.056,62.779,912.591,323.115,1.751,77.627,23.631,3.967,154,0,Low
WDG4-1001,WDG4,NR,2014,21,174,28,85.829,3.241,1.852,92.783,77.064,61.913,928.536,301.489,1.668,68.132,23.497,4.264,153,0,Low
WDG4-1001,WDG4,NR,2014,22,174,30,79.241,3.29,1.665,94.477,74.168,57.675,897.427,316.711,1.686,77.789,23.989,4.206,152,0,Low
WDG4-1001,WDG4,NR,2014,23,174,32,81.145,3.39,2.068,91.832,72.947,61.77,881.351,304.846,1.598,73.817,24.236,4.048,151,0,Low
WDG4-1001,WDG4,NR,2014,24,174,34,80.858,3.584,2.007,93.824,76.21,64.325,868.743,325.621,1.806,79.83,23.731,4.035,150,0,Low
